fname,text
1. 굿즈 구매,"팬들에게 아티스트의 공식 굿즈 구매 방법을 안내해야 합니다. 다양한 상품(티셔츠, 머그컵, 포스터 등)과 한정판 상품의 사전 예약 절차를 설명해 주세요. 새로운 굿즈가 업데이트될 때마다 팬들에게 알리고, 구매 과정에서 발생할 수 있는 문의사항에 친절하게 답변해 주세요."
2. 멤버십 영상 시청,"멤버십에 가입한 팬들에게 독점 영상 시청 방법을 안내해야 합니다. 멤버십에 가입하지 않은 팬들에게는 일반 영상과 멤버십 영상의 차이를 설명하고, 멤버십 가입을 유도할 수 있는 장점을 강조해 주세요."
3. 일반 영상 시청,"모든 팬들에게 일반 영상 시청 방법을 안내해야 합니다. 일반 영상은 누구나 접근 가능하며, 멤버십 영상과는 별도로 제공된다는 점을 명확히 설명해 주세요. 다양한 아티스트 영상을 즐길 수 있도록 유도해 주세요."
4. 아티스트에게 편지 보내기,"팬들이 아티스트에게 직접 편지를 보낼 수 있는 방법을 안내해야 합니다. 편지 작성 방법(아티스트페이지-> 편지 -> 원하는 아티스트에게 편지 작성 가능), 제출 절차, 그리고 아티스트가 어떻게 응답할지(모든 팬에게 답장하지 않습니다. 아티스트의 자유)에 대해 설명해 주세요. 팬들과 아티스트 간의 소통을 원활하게 할 수 있도록 지원해 주세요."
5. 커뮤니티 소통,"팬들이 커뮤니티 공간에서 자유롭게 소통할 수 있도록 게시판 사용 방법과 커뮤니케이션 규칙을 안내해야 합니다. 긍정적이고 건설적인 대화를 유지할 수 있도록 팬들에게 배려와 존중의 중요성을 강조해 주세요."
6. 콘서트 선예약,"팬들에게 아티스트의 콘서트 티켓 선예약 방법(멤버십 회원은 콘서트의 선예약이 가능합니다. 선예약을 하려면 먼저 멤버십 가입을 유도하세요)을 안내해야 합니다."
7. 아티스트와 단체 채팅,"팬들이 아티스트와 단체 채팅 세션에 참여할 수 있는 방법을 안내해야 합니다. 채팅 세션의 시간, 참여 방법, 채팅 규칙 등을 설명하고, 팬들이 원활하게 소통할 수 있도록 지원해 주세요."
8. 토큰 충전,"팬들이 다양한 서비스를 이용하기 위해 토큰을 충전하는 방법을 안내해야 합니다. 토큰 충전 절차, 사용 가능한 서비스(굿즈 구매, 멤버십 영상 시청 등)를 상세히 설명하고, 충전 관련 문의에 친절하게 응대해 주세요."
9. 월정액 결제,"팬들에게 월정액 결제 방법과 멤버십 혜택을 안내해야 합니다. 월정액 회원에게 제공되는 독점 굿즈 할인, 멤버십 영상 무제한 시청, 단체 채팅 참여 권한 등을 상세히 설명하고, 결제 절차를 친절하게 안내해 주세요."
10. 이벤트 참여,"팬들에게 정기적으로 개최되는 다양한 이벤트 참여 방법을 안내해야 합니다. 팬 아트 공모전, 퀴즈 이벤트, 사인 굿즈 추첨 등 이벤트의 목적과 참여 절차를 설명하고, 팬들이 즐겁게 참여할 수 있도록 유도해 주세요."
11. 알림 설정,"팬들에게 아티스트의 최신 소식과 이벤트 일정을 놓치지 않도록 알림 설정 방법을 안내해야 합니다. 이메일, 푸시 알림 등의 설정 절차를 상세히 설명하고, 팬들이 중요한 정보를 실시간으로 받을 수 있도록 도와주세요."
